Symbol,Name,Sector,industry
DCOMP,"Dime Community Bancshares, Inc.",Finance,Savings Institutions
DIOD,Diodes Incorporated,Technology,Semiconductors
DRTT,DIRTT Environmental Solutions Ltd.,Technology,Computer Software: Prepackaged Software
DISCA,"Discovery, Inc.",Consumer Services,Television Services
DISCB,"Discovery, Inc.",Consumer Services,Television Services
DISCK,"Discovery, Inc.",Consumer Services,Television Services
DISH,DISH Network Corporation,Consumer Services,Television Services
DHC,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
SAUC,"Diversified Restaurant Holdings, Inc.",n/a,n/a
DLHC,DLH Holdings Corp.,Technology,Professional Services
BOOM,DMC Global Inc.,Capital Goods,Industrial Specialties
DOCU,"DocuSign, Inc.",Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation,Consumer Durables,Miscellaneous manufacturing industries
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores
DLPN,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DLPNW,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DOMO,"Domo, Inc.",Technology,Computer Software: Prepackaged Software
DGICA,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.
DOYU,DouYu International Holdings Limited,Technology,"Computer Software: Programming, Data Processing"
LYL,Dragon Victory International Limited,Finance,Finance/Investors Services
DBX,"Dropbox, Inc.",Technology,Computer Software: Prepackaged Software
DCAR,"DropCar, Inc.",Consumer Services,Telecommunications Equipment
DSPG,"DSP Group, Inc.",Technology,Semiconductors
DLTH,Duluth Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants
DUOT,"Duos Technologies Group, Inc.",Technology,Computer Software: Prepackaged Software
DRRX,DURECT Corporation,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components
DYAI,"Dyadic International, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYNT,Dynatronics Corporation,Health Care,Medical/Dental Instruments
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,Finance,Savings Institutions
SSP,E.W. Scripps Company (The),Consumer Services,Broadcasting
EBMT,"Eagle Bancorp Montana, Inc.",Finance,Major Banks
EGBN,"Eagle Bancorp, Inc.",Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,Transportation,Marine Transportation
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
IGLE,Eagleline Acquisition Corp.,n/a,n/a
ESSCU,East Stone Acquisition Corporation,Finance,Business Services
EWBC,"East West Bancorp, Inc.",Finance,Major Banks
EML,Eastern Company (The),Capital Goods,Industrial Machinery/Components
EAST,"Eastside Distilling, Inc.",Consumer Non-Durables,Beverages (Production/Distribution)
EVGBC,Eaton Vance NextShares Trust,n/a,n/a
EVSTC,Eaton Vance NextShares Trust,n/a,n/a
EVLMC,Eaton Vance NextShares Trust II,n/a,n/a
EBAY,eBay Inc.,Miscellaneous,Business Services
EBAYL,eBay Inc.,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",Technology,EDP Services
ECHO,"Echo Global Logistics, Inc.",Transportation,Oil Refining/Marketing
SATS,EchoStar Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
MOHO,ECMOHO Limited,Consumer Services,Catalog/Specialty Distribution
EDAP,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDSA,"Edesa Biotech, Inc.",Health Care,Major Pharmaceuticals
EDNT,"Edison Nation, Inc.",Consumer Non-Durables,Recreational Products/Toys
EDIT,"Editas Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDTX,EdtechX Holdings Acquisition Corp.,Finance,Business Services
EDTXU,EdtechX Holdings Acquisition Corp.,Finance,Business Services
EDTXW,EdtechX Holdings Acquisition Corp.,Finance,Business Services
EDUC,Educational Development Corporation,Consumer Durables,Consumer Specialties
EGAN,eGain Corporation,Technology,Computer Software: Prepackaged Software
EH,EHang Holdings Limited,Transportation,Air Freight/Delivery Services
EHTH,"eHealth, Inc.",Finance,Specialty Insurers
EIDX,"Eidos Therapeutics, Inc.",Health Care,Major Pharmaceuticals
EIGR,"Eiger BioPharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,"Ekso Bionics Holdings, Inc.",Capital Goods,Industrial Machinery/Components
LOCO,"El Pollo Loco Holdings, Inc.",Consumer Services,Restaurants
ESLT,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical
ERI,"Eldorado Resorts, Inc.",Consumer Services,Hotels/Resorts
SOLO,Electrameccanica Vehicles Corp. Ltd.,Capital Goods,Auto Manufacturing
SOLOW,Electrameccanica Vehicles Corp. Ltd.,Capital Goods,Auto Manufacturing
ECOR,"electroCore, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software
ELSE,"Electro-Sensors, Inc.",Capital Goods,Industrial Machinery/Components
ESBK,Elmira Savings Bank NY (The),Finance,Major Banks
ELOX,"Eloxx Pharmaceuticals, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
ELTK,Eltek Ltd.,Technology,Electrical Products
EMCF,Emclaire Financial Corp,Finance,Major Banks
EMKR,EMCORE Corporation,Technology,Semiconductors
EMMS,Emmis Communications Corporation,Consumer Services,Broadcasting
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ECPG,Encore Capital Group Inc,Finance,Finance Companies
WIRE,Encore Wire Corporation,Capital Goods,Metal Fabrications
ENDP,Endo International plc,Health Care,Major Pharmaceuticals
ELGX,"Endologix, Inc.",Health Care,Medical/Dental Instruments
NDRA,ENDRA Life Sciences Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NDRAW,ENDRA Life Sciences Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EIGI,"Endurance International Group Holdings, Inc.",Technology,Computer Software: Prepackaged Software
WATT,Energous Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,"Energy Focus, Inc.",Consumer Durables,Building Products
EHR,"Energy Hunter Resources, Inc.",n/a,n/a
ERII,"Energy Recovery, Inc.",Technology,Industrial Machinery/Components
ENG,ENGlobal Corporation,Consumer Services,Military/Government/Technical
ENLV,Enlivex Therapeutics Ltd.,Health Care,Major Pharmaceuticals
ENOB,"Enochian Biosciences, Inc.",Health Care,Major Pharmaceuticals
ENPH,"Enphase Energy, Inc.",Technology,Semiconductors
ESGR,Enstar Group Limited,Finance,Property-Casualty Insurers
ESGRO,Enstar Group Limited,Finance,Property-Casualty Insurers
ESGRP,Enstar Group Limited,Finance,Property-Casualty Insurers
ETTX,Entasis Therapeutics Holdings Inc.,Health Care,Major Pharmaceuticals
ENTG,"Entegris, Inc.",Consumer Non-Durables,Plastic Products
ENTX,Entera Bio Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENTXW,Entera Bio Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EBTC,Enterprise Bancorp Inc,Finance,Major Banks
EFSC,Enterprise Financial Services Corporation,Finance,Major Banks
EVSI,"Envision Solar International, Inc.",Technology,Semiconductors
EVSIW,"Envision Solar International, Inc.",Technology,Semiconductors
EPZM,"Epizyme, Inc.",Health Care,Major Pharmaceuticals
PLUS,ePlus inc.,Technology,Retail: Computer Software & Peripheral Equipment
EPSN,Epsilon Energy Ltd.,Energy,Oil & Gas Production
EQ,"Equillium, Inc.",Health Care,Major Pharmaceuticals
EQIX,"Equinix, Inc.",Consumer Services,Real Estate Investment Trusts
EQBK,"Equity Bancshares, Inc.",Finance,Major Banks
ERIC,Ericsson,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company,Finance,Specialty Insurers
ERYP,Erytech Pharma S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESCA,"Escalade, Incorporated",Consumer Non-Durables,Recreational Products/Toys
ESPR,"Esperion Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ESQ,"Esquire Financial Holdings, Inc.",Finance,Commercial Banks
ESSA,"ESSA Bancorp, Inc.",Finance,Banks
EPIX,ESSA Pharma Inc.,Health Care,Major Pharmaceuticals
ESTA,Establishment Labs Holdings Inc.,Health Care,Industrial Specialties
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,n/a,n/a
VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,n/a,n/a
VIDI,ETF Series Solutions Trust Vident International Equity Fund,n/a,n/a
ETON,"Eton Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ETSY,"Etsy, Inc.",Miscellaneous,Business Services
CLWT,Euro Tech Holdings Company Limited,Consumer Durables,Diversified Electronic Products
EDRY,EuroDry Ltd.,Consumer Services,Marine Transportation
EEFT,"Euronet Worldwide, Inc.",Finance,Investment Bankers/Brokers/Service
ESEA,Euroseas Ltd.,Transportation,Marine Transportation
EVLO,"Evelo Biosciences, Inc.",Health Care,Major Pharmaceuticals
EVBG,"Everbridge, Inc.",Technology,Computer Software: Prepackaged Software
EVK,"Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel
EVER,"EverQuote, Inc.",Technology,"Computer Software: Programming, Data Processing"
MRAM,"Everspin Technologies, Inc.",Technology,Semiconductors
EVOP,"EVO Payments, Inc.",Miscellaneous,Business Services
EVFM,"Evofem Biosciences, Inc.",Health Care,Major Pharmaceuticals
EVGN,Evogene Ltd.,Basic Industries,Agricultural Chemicals
EVOK,"Evoke Pharma, Inc.",Health Care,Major Pharmaceuticals
EOLS,"Evolus, Inc.",Health Care,Major Pharmaceuticals
EVOL,"Evolving Systems, Inc.",Technology,EDP Services
EXAS,Exact Sciences Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
XGN,Exagen Inc.,Health Care,Medical Specialities
FLAG,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S,n/a,n/a
ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,n/a,n/a
XELA,"Exela Technologies, Inc.",Miscellaneous,Business Services
EXEL,"Exelixis, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation,Public Utilities,Power Generation
EXFO,EXFO Inc,Capital Goods,Electrical Products
XCUR,"Exicure, Inc.",Health Care,Major Pharmaceuticals
EXLS,"ExlService Holdings, Inc.",Miscellaneous,Business Services
EXPI,"eXp World Holdings, Inc.",Finance,Real Estate
EXPE,"Expedia Group, Inc.",Consumer Services,Transportation Services
EXPD,"Expeditors International of Washington, Inc.",Transportation,Oil Refining/Marketing
EXPC,Experience Investment Corp.,Finance,Business Services
EXPCU,Experience Investment Corp.,Finance,Business Services
EXPCW,Experience Investment Corp.,Finance,Business Services
EXPO,"Exponent, Inc.",Consumer Services,Professional Services
STAY,"Extended Stay America, Inc.",Consumer Services,Hotels/Resorts
XOG,"Extraction Oil & Gas, Inc.",Energy,Oil & Gas Production
EXTR,"Extreme Networks, Inc.",Technology,Computer Communications Equipment
EYEG,"Eyegate Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
EYEGW,"Eyegate Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
EYEN,"Eyenovia, Inc.",Health Care,Major Pharmaceuticals
EYPT,"EyePoint Pharmaceuticals, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
EZPW,"EZCORP, Inc.",Consumer Services,Other Specialty Stores
FLRZ,"F5 Finishes, Inc.",Basic Industries,Engineering & Construction
FFIV,"F5 Networks, Inc.",Technology,Computer Communications Equipment
FB,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing"
FLMN,Falcon Minerals Corporation,Energy,Oil & Gas Production
FLMNW,Falcon Minerals Corporation,Energy,Oil & Gas Production
DUO,Fangdd Network Group Ltd.,Finance,Real Estate
FANH,Fanhua Inc.,Finance,Specialty Insurers
FARM,Farmer Brothers Company,Consumer Non-Durables,Packaged Foods
FMAO,"Farmers & Merchants Bancorp, Inc.",Finance,Savings Institutions
FMNB,Farmers National Banc Corp.,Finance,Major Banks
FAMI,"FARMMI, INC.",Consumer Non-Durables,Packaged Foods
FARO,"FARO Technologies, Inc.",Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company,Consumer Services,RETAIL: Building Materials
FAT,FAT Brands Inc.,Consumer Services,Restaurants
FATE,"Fate Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBSS,"Fauquier Bankshares, Inc.",Finance,Major Banks
FNHC,FedNat Holding Company,Finance,Property-Casualty Insurers
FLLC,Fellazo Inc.,Finance,Business Services
FLLCR,Fellazo Inc.,Finance,Business Services
FLLCU,Fellazo Inc.,Finance,Business Services
FLLCW,Fellazo Inc.,Finance,Business Services
FENC,Fennec Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GSM,Ferroglobe PLC,Capital Goods,Metal Fabrications
FFBW,"FFBW, Inc.",Finance,Savings Institutions
FGEN,"FibroGen, Inc",Health Care,Major Pharmaceuticals
FDBC,"Fidelity D & D Bancorp, Inc.",Finance,Major Banks
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,n/a,n/a
FDUS,Fidus Investment Corporation,n/a,n/a
FDUSG,Fidus Investment Corporation,n/a,n/a
FDUSL,Fidus Investment Corporation,n/a,n/a
FDUSZ,Fidus Investment Corporation,n/a,n/a
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Services,Restaurants
FITB,Fifth Third Bancorp,Finance,Major Banks
FITBI,Fifth Third Bancorp,Finance,Major Banks
FITBO,Fifth Third Bancorp,Finance,Major Banks
FITBP,Fifth Third Bancorp,Finance,Major Banks
FISI,"Financial Institutions, Inc.",Finance,Major Banks
FNJN,"Finjan Holdings, Inc.",Miscellaneous,Multi-Sector Companies
FSRV,FinServ Acquisition Corp.,Finance,Business Services
FSRVU,FinServ Acquisition Corp.,Finance,Business Services
FSRVW,FinServ Acquisition Corp.,Finance,Business Services
FTAC,FinTech Acquisition Corp. III,Finance,Business Services
FTACU,FinTech Acquisition Corp. III,Finance,Business Services
FTACW,FinTech Acquisition Corp. III,Finance,Business Services
FEYE,"FireEye, Inc.",Technology,Computer peripheral equipment
FBNC,First Bancorp,Finance,Major Banks
FNLC,"First Bancorp, Inc (ME)",Finance,Major Banks
FRBA,First Bank,n/a,n/a
BUSE,First Busey Corporation,Finance,Major Banks
FBIZ,"First Business Financial Services, Inc.",Finance,Major Banks
FCAP,"First Capital, Inc.",Finance,Savings Institutions
FCBP,First Choice Bancorp,Finance,Major Banks
FCNCA,"First Citizens BancShares, Inc.",Finance,Major Banks
FCBC,"First Community Bankshares, Inc.",Finance,Major Banks
FCCO,First Community Corporation,Finance,Major Banks
FDEF,First Defiance Financial Corp.,Finance,Savings Institutions
FFBC,First Financial Bancorp.,Finance,Major Banks
FFIN,"First Financial Bankshares, Inc.",Finance,Major Banks
THFF,First Financial Corporation Indiana,Finance,Major Banks
FFNW,"First Financial Northwest, Inc.",Finance,Major Banks
FFWM,First Foundation Inc.,Finance,Major Banks
FGBI,"First Guaranty Bancshares, Inc.",Finance,Savings Institutions
FHB,"First Hawaiian, Inc.",Finance,Major Banks
INBK,First Internet Bancorp,Finance,Major Banks
INBKL,First Internet Bancorp,Finance,Major Banks
INBKZ,First Internet Bancorp,Finance,Major Banks
FIBK,"First Interstate BancSystem, Inc.",Finance,Major Banks
FRME,First Merchants Corporation,Finance,Major Banks
FMBH,"First Mid Bancshares, Inc.",Finance,Major Banks
FMBI,"First Midwest Bancorp, Inc.",Finance,Major Banks
FXNC,First National Corporation,Finance,Major Banks
FNWB,First Northwest Bancorp,Finance,Banks
FSFG,"First Savings Financial Group, Inc.",Finance,Savings Institutions
FSEA,First Seacoast Bancorp,Finance,Savings Institutions
FSLR,"First Solar, Inc.",Technology,Semiconductors
FAAR,First Trust Alternative Absolute Return Strategy ETF,n/a,n/a
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,n/a,n/a
BICK,First Trust BICK Index Fund,n/a,n/a
FBZ,First Trust Brazil AlphaDEX Fund,n/a,n/a
FTHI,First Trust BuyWrite Income ETF,n/a,n/a
FCAL,First Trust California Municipal High income ETF,n/a,n/a
FCAN,First Trust Canada AlphaDEX Fund,n/a,n/a
FTCS,First Trust Capital Strength ETF,n/a,n/a
FCEF,First Trust CEF Income Opportunity ETF,n/a,n/a
FCA,First Trust China AlphaDEX Fund,n/a,n/a
SKYY,First Trust Cloud Computing ETF,n/a,n/a
RNDM,First Trust Developed International Equity Select ETF,n/a,n/a
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,n/a,n/a
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,n/a,n/a
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,n/a,n/a
FV,First Trust Dorsey Wright Focus 5 ETF,n/a,n/a
IFV,First Trust Dorsey Wright International Focus 5 ETF,n/a,n/a
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,n/a,n/a
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,n/a,n/a
DVLU,First Trust Dorsey Wright Momentum & Value ETF,n/a,n/a
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,n/a,n/a
DALI,First Trust DorseyWright DALI 1 ETF,n/a,n/a
FDNI,First Trust Dow Jones International Internet ETF,n/a,n/a
FEM,First Trust Emerging Markets AlphaDEX Fund,n/a,n/a
RNEM,First Trust Emerging Markets Equity Select ETF,n/a,n/a
FEMB,First Trust Emerging Markets Local Currency Bond ETF,n/a,n/a
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,n/a,n/a
FTSM,First Trust Enhanced Short Maturity ETF,n/a,n/a
FEP,First Trust Europe AlphaDEX Fund,n/a,n/a
FEUZ,First Trust Eurozone AlphaDEX ETF,n/a,n/a
FGM,First Trust Germany AlphaDEX Fund,n/a,n/a
FTGC,First Trust Global Tactical Commodity Strategy Fund,n/a,n/a
FTLB,First Trust Hedged BuyWrite Income ETF,n/a,n/a
HYLS,First Trust High Yield Long/Short ETF,n/a,n/a
FHK,First Trust Hong Kong AlphaDEX Fund,n/a,n/a
NFTY,First Trust India Nifty 50 Equal Weight ETF,n/a,n/a
FTAG,First Trust Indxx Global Agriculture ETF,n/a,n/a
FTRI,First Trust Indxx Global Natural Resources Income ETF,n/a,n/a
LEGR,First Trust Indxx Innovative Transaction & Process ETF,n/a,n/a
NXTG,First Trust Indxx NextG ETF,n/a,n/a
FPXI,First Trust International Equity Opportunities ETF,n/a,n/a
FPXE,First Trust IPOX Europe Equity Opportunities ETF,n/a,n/a
FJP,First Trust Japan AlphaDEX Fund,n/a,n/a
FEX,First Trust Large Cap Core AlphaDEX Fund,n/a,n/a
FTC,First Trust Large Cap Growth AlphaDEX Fund,n/a,n/a
RNLC,First Trust Large Cap US Equity Select ETF,n/a,n/a
FTA,First Trust Large Cap Value AlphaDEX Fund,n/a,n/a
FLN,First Trust Latin America AlphaDEX Fund,n/a,n/a
LMBS,First Trust Low Duration Opportunities ETF,n/a,n/a
LDSF,First Trust Low Duration Strategic Focus ETF,n/a,n/a
FMB,First Trust Managed Municipal ETF,n/a,n/a
FMK,First Trust Mega Cap AlphaDEX Fund,n/a,n/a
FNX,First Trust Mid Cap Core AlphaDEX Fund,n/a,n/a
FNY,First Trust Mid Cap Growth AlphaDEX Fund,n/a,n/a
RNMC,First Trust Mid Cap US Equity Select ETF,n/a,n/a
FNK,First Trust Mid Cap Value AlphaDEX Fund,n/a,n/a
FAD,First Trust Multi Cap Growth AlphaDEX Fund,n/a,n/a
FAB,First Trust Multi Cap Value AlphaDEX Fund,n/a,n/a
MDIV,First Trust Multi-Asset Diversified Income Index Fund,n/a,n/a
MCEF,First Trust Municipal CEF Income Opportunity ETF,n/a,n/a
FMHI,First Trust Municipal High Income ETF,n/a,n/a
QABA,First Trust NASDAQ ABA Community Bank Index Fund,n/a,n/a
ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,n/a,n/a
FTXO,First Trust Nasdaq Bank ETF,n/a,n/a
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,n/a,n/a
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,n/a,n/a
CIBR,First Trust NASDAQ Cybersecurity ETF,n/a,n/a
FTXG,First Trust Nasdaq Food & Beverage ETF,n/a,n/a
CARZ,First Trust NASDAQ Global Auto Index Fund,n/a,n/a
FTXN,First Trust Nasdaq Oil & Gas ETF,n/a,n/a
FTXH,First Trust Nasdaq Pharmaceuticals ETF,n/a,n/a
FTXD,First Trust Nasdaq Retail ETF,n/a,n/a
FTXL,First Trust Nasdaq Semiconductor ETF,n/a,n/a
TDIV,First Trust NASDAQ Technology Dividend Index Fund,n/a,n/a
FTXR,First Trust Nasdaq Transportation ETF,n/a,n/a
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,n/a,n/a
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,n/a,n/a
QTEC,First Trust NASDAQ-100- Technology Index Fund,n/a,n/a
AIRR,First Trust RBA American Industrial Renaissance ETF,n/a,n/a
RDVY,First Trust Rising Dividend Achievers ETF,n/a,n/a
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,n/a,n/a
RFDI,First Trust RiverFront Dynamic Developed International ETF,n/a,n/a
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,n/a,n/a
RFEU,First Trust RiverFront Dynamic Europe ETF,n/a,n/a
FID,First Trust S&P International Dividend Aristocrats ETF,n/a,n/a
FTSL,First Trust Senior Loan Fund ETF,n/a,n/a
FYX,First Trust Small Cap Core AlphaDEX Fund,n/a,n/a
FYC,First Trust Small Cap Growth AlphaDEX Fund,n/a,n/a
RNSC,First Trust Small Cap US Equity Select ETF,n/a,n/a
FYT,First Trust Small Cap Value AlphaDEX Fund,n/a,n/a
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,n/a,n/a
FKO,First Trust South Korea AlphaDEX Fund,n/a,n/a
FCVT,First Trust SSI Strategic Convertible Securities ETF,n/a,n/a
FDIV,First Trust Strategic Income ETF,n/a,n/a
FSZ,First Trust Switzerland AlphaDEX Fund,n/a,n/a
FIXD,First Trust TCW Opportunistic Fixed Income ETF,n/a,n/a
TUSA,First Trust Total US Market AlphaDEX ETF,n/a,n/a
FKU,First Trust United Kingdom AlphaDEX Fund,n/a,n/a
RNDV,First Trust US Equity Dividend Select ETF,n/a,n/a
FUNC,First United Corporation,Finance,Major Banks
FUSB,"First US Bancshares, Inc.",Finance,Major Banks
MYFW,"First Western Financial, Inc.",Finance,Major Banks
FCFS,"FirstCash, Inc.",Consumer Services,Other Specialty Stores
SVVC,"Firsthand Technology Value Fund, Inc.",n/a,n/a
FSV,FirstService Corporation,Finance,Real Estate
FISV,"Fiserv, Inc.",Technology,EDP Services
FIVE,"Five Below, Inc.",Consumer Services,Department/Specialty Retail Stores
FPRX,"Five Prime Therapeutics, Inc.",Health Care,Major Pharmaceuticals
FVE,Five Star Senior Living Inc.,Health Care,Hospital/Nursing Management
FIVN,"Five9, Inc.",Technology,EDP Services
FLEX,Flex Ltd.,Technology,Electrical Products
FLXN,"Flexion Therapeutics, Inc.",Health Care,Major Pharmaceuticals
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,n/a,n/a
MBSD,FlexShares Disciplined Duration MBS Index Fund,n/a,n/a
ASET,FlexShares Real Assets Allocation Index Fund,n/a,n/a
ESG,FlexShares Trust,n/a,n/a
ESGG,FlexShares Trust,n/a,n/a
LKOR,FlexShares Trust,n/a,n/a
QLC,FlexShares Trust,n/a,n/a
FPAY,"FlexShopper, Inc.",Technology,Diversified Commercial Services
FLXS,"Flexsteel Industries, Inc.",Consumer Durables,Home Furnishings
FLIR,"FLIR Systems, Inc.",Capital Goods,Industrial Machinery/Components
FLWR,Flowr Corporation (The),n/a,n/a
FLNT,"Fluent, Inc.",Consumer Services,Advertising
FLDM,Fluidigm Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FFIC,Flushing Financial Corporation,Finance,Major Banks
FLUX,"Flux Power Holdings, Inc.",n/a,n/a
FNCB,FNCB Bancorp Inc.,Finance,Major Banks
FOMX,Foamix Pharmaceuticals Ltd.,Consumer Durables,Specialty Chemicals
FOCS,Focus Financial Partners Inc.,Finance,Investment Managers
FONR,Fonar Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FSCT,"ForeScout Technologies, Inc.",Technology,Computer peripheral equipment
FRSX,Foresight Autonomous Holdings Ltd.,Technology,Computer Software: Prepackaged Software
FORM,"FormFactor, Inc.",Technology,Semiconductors
FORTY,Formula Systems (1985) Ltd.,Technology,EDP Services
FORR,"Forrester Research, Inc.",Consumer Services,Diversified Commercial Services
FRTA,"Forterra, Inc.",Capital Goods,Building Materials
FTNT,"Fortinet, Inc.",Technology,Computer peripheral equipment
FBIO,"Fortress Biotech, Inc.",Health Care,Major Pharmaceuticals
FBIOP,"Fortress Biotech, Inc.",Health Care,Major Pharmaceuticals
FTSV,"Forty Seven, Inc.",Health Care,Major Pharmaceuticals
FMCI,Forum Merger II Corporation,Finance,Business Services
FMCIU,Forum Merger II Corporation,Finance,Business Services
FMCIW,Forum Merger II Corporation,Finance,Business Services
FWRD,Forward Air Corporation,Transportation,Oil Refining/Marketing
FORD,"Forward Industries, Inc.",Consumer Non-Durables,Plastic Products
FWP,Forward Pharma A/S,Health Care,Major Pharmaceuticals
FOSL,"Fossil Group, Inc.",Consumer Non-Durables,Consumer Specialties
FOX,Fox Corporation,Consumer Services,Broadcasting
FOXA,Fox Corporation,Consumer Services,Broadcasting
FOXF,Fox Factory Holding Corp.,Consumer Non-Durables,Motor Vehicles
FRAN,Francesca&#39;s Holdings Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
FRG,"Franchise Group, Inc.",Miscellaneous,Multi-Sector Companies
FELE,"Franklin Electric Co., Inc.",Consumer Durables,Metal Fabrications
FRAF,Franklin Financial Services Corporation,Finance,Major Banks
FRHC,Freedom Holding Corp.,Finance,Investment Bankers/Brokers/Service
RAIL,"Freightcar America, Inc.",Capital Goods,Railroads
FEIM,"Frequency Electronics, Inc.",Capital Goods,Electrical Products
FREQ,"Frequency Therapeutics, Inc.",Health Care,Major Pharmaceuticals
FRPT,"Freshpet, Inc.",Consumer Non-Durables,Packaged Foods
FTDR,"frontdoor, inc.",Finance,Diversified Commercial Services
FTR,Frontier Communications Corporation,Public Utilities,Telecommunications Equipment
FRPH,"FRP Holdings, Inc.",Finance,Real Estate
FSBW,"FS Bancorp, Inc.",Finance,Banks
FSBC,"FSB Bancorp, Inc.",Finance,Savings Institutions
HUGE,FSD Pharma Inc.,Consumer Durables,Specialty Chemicals
FTEK,"Fuel Tech, Inc.",Capital Goods,Pollution Control Equipment
FCEL,"FuelCell Energy, Inc.",Miscellaneous,Industrial Machinery/Components
FULC,"Fulcrum Therapeutics, Inc.",Health Care,Major Pharmaceuticals
FLGT,"Fulgent Genetics, Inc.",Health Care,Medical Specialities
FORK,Fuling Global Inc.,Consumer Non-Durables,Plastic Products
